,genre1,production_budget,domestic_gross,worldwide_gross,difference,runtime_minutes
0,Action,41956540000,44994983917,120690576940,78734036940,70732.0
1,Adventure,15074224106,18668912289,50782497531,35708273425,22796.0
2,Animation,1298077247,2324059644,5343731948,4045654701,2241.0
3,Biography,5224332746,7028822517,13968204681,8743871935,20797.0
4,Comedy,10767417173,15827755378,29298589768,18531172595,52860.0
5,Crime,3461617373,3662805754,7782134676,4320517303,16360.0
6,Documentary,8760426897,10558091023,22375353592,13614926695,21911.0
7,Drama,15870840469,19457973002,39869730843,23998890374,82415.0
8,Family,815000000,2859768635,6943741278,6128741278,1765.0
9,Fantasy,588000000,1166073329,3375101644,2787101644,1280.0
10,Horror,3378228373,6596103936,14742990514,11364762141,18029.0
11,Music,129000000,294562428,816440836,687440836,594.0
12,Musical,227300000,618430954,1672813784,1445513784,883.0
13,Mystery,371150000,572315170,1190651137,819501137,1208.0
14,Romance,304650000,246255684,402865766,98215766,1250.0
15,Sci-Fi,537190000,932355050,1920162754,1382972754,1393.0
16,Sport,19000000,5310554,5745503,-13254497,114.0
17,Thriller,1546765732,1535825985,3713000418,2166234686,4917.0
18,War,44000000,51949105,51949105,7949105,247.0
19,Western,13000000,65532576,65532576,52532576,151.0
